Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 21 Enplanements,CY 20 Enplanements,% Change
354,AL,AK,CDV,Cordova,Merle K (Mudhole) Smith,P,N,"15,058","10,264",46.71%
356,GL,MI,IMT,Iron Mountain,Ford,P,N,"14,863","10,464",42.04%
358,GL,MI,ESC,Escanaba,Delta County,P,N,"14,780","8,204",80.16%
359,CE,IA,ALO,Waterloo,Waterloo Regional,P,N,"14,367","7,010",104.95%
360,WP,AZ,PGA,Page,Page Municipal,P,N,"14,340","8,915",60.85%
361,EA,VA,SHD,Weyers Cave,Shenandoah Valley Regional,P,N,"14,320","6,306",127.09%
362,NE,MA,ORH,Worcester,Worcester Regional,P,N,"14,301","20,464",-30.12%
363,SO,GA,MCN,Macon,Middle Georgia Regional,P,N,"14,176","8,341",69.96%
364,AL,AK,AKW,Klawock,Klawock,P,N,"14,157","10,077",40.49%
365,NM,WA,FHR,Friday Harbor,Friday Harbor,P,N,"14,054","6,720",109.14%
366,SO,MS,PIB,Moselle,Hattiesburg/Laurel Regional,P,N,"13,853","9,008",53.79%
367,CE,NE,LBF,North Platte,North Platte Regional/Lee Bird Field,P,N,"13,679","7,668",78.39%
368,SO,KY,PAH,Paducah,Barkley Regional,P,N,"13,643","6,560",107.97%
369,NM,OR,OTH,North Bend,Southwest Oregon Regional,P,N,"13,552","6,785",99.73%
370,SO,KY,OWB,Owensboro,Owensboro/Daviess County Regional,P,N,"13,396","9,284",44.29%
371,CE,NE,BFF,Scottsbluff,Western Nebraska Regional/William B Heilig Field,P,N,"13,310","8,933",49.00%
373,NM,MT,WYS,West Yellowstone,Yellowstone,P,N,"13,149","4,602",185.72%
375,NM,UT,CDC,Cedar City,Cedar City Regional,P,N,"12,807","5,883",117.70%
376,GL,ND,JMS,Jamestown,Jamestown Regional,P,N,"12,804","6,161",107.82%
377,GL,MI,MKG,Muskegon,Muskegon County,P,N,"12,741","5,550",129.57%
378,GL,MN,HIB,Hibbing,Range Regional,P,N,"12,672","8,432",50.28%
379,GL,MI,APN,Alpena,Alpena County Regional,P,N,"12,486","6,533",91.12%
380,EA,DE,ILG,Wilmington,New Castle,P,N,"12,476",626,1892.97%
381,NE,ME,RKD,Rockland,Knox County Regional,P,N,"12,149","2,131",470.11%
382,AL,AK,WRG,Wrangell,Wrangell,P,N,"12,100","7,102",70.37%
383,SO,MS,MEI,Meridian,Key Field,P,N,"12,050","9,447",27.55%
384,SW,NM,HOB,Hobbs,Lea County Regional,P,N,"11,993","9,080",32.08%
385,NM,CO,ALS,Alamosa,San Luis Valley Regional/Bergman Field,P,N,"11,987","4,742",152.78%
387,CE,MO,TBN,Fort Leonard Wood (U.S. Army),Waynesville-St Robert Regional Forney Field,P,N,"11,340","9,666",17.32%
388,NE,ME,PQI,Presque Isle,Presque Isle International,P,N,"11,137","5,271",111.29%
389,CE,KS,HYS,Hays,Hays Regional,P,N,"11,081","5,388",105.66%
391,EA,WV,LWB,Lewisburg,Greenbrier Valley,P,N,"10,902","3,995",172.89%
