FIPS,2020,2030,2040,2050,2060,2070,2080,2090,2100,state_name
01109,30786.6841601312,31002.045681536,32994.53079562309,41183.17710724913,49807.28720660826,59029.44354505481,68662.60916743327,77857.62338785586,86715.82443607265,alabama
01111,22175.496689566287,21248.58840606712,20357.25148193532,36817.15264548717,54984.2407346972,75835.18901183775,99571.03984656,124558.1693590186,151109.7140124196,alabama
01113,59731.40082953763,67865.89427777058,78581.94538618659,86333.43288757,94713.5847622272,103879.9689329912,113633.04305304289,123092.03636845291,132348.00702680973,alabama
01115,84012.27193563675,80403.75960898765,76433.45576050588,89672.35098517904,105759.93941570264,124467.54529491292,145060.7245636592,165474.45896453617,185922.91100524203,alabama
01117,228151.3930331242,258800.25854788147,290321.44891136,315888.5541935109,342737.8462694173,371897.4338581467,402904.3000522895,433036.9305536015,462703.0473646611,alabama
01119,9090.42741625829,8066.822944724711,7447.846465298614,11103.620700792711,15024.47501713267,19261.10969501586,23723.32585459205,28017.852941301862,32175.947468004844,alabama
01121,85666.06185671505,86390.93733892096,86546.55051744245,102513.39118555066,120242.05231769884,140047.9520612808,161564.89989280564,182813.3924288849,204048.93735578863,alabama
01123,39886.999827642605,38284.59690537483,37103.40526581952,52354.02298741294,68709.30058001094,86619.42647013132,105869.5542655874,124820.92319405483,143753.90738225257,alabama
01125,229829.36657678356,270895.0309186184,320762.2758487684,355200.3376391326,391671.1583839601,431403.9457157724,473691.2983036749,514799.0263232517,555090.9179857018,alabama
01127,65762.70787406499,62585.30753857177,59320.7530334737,82117.2583806736,106390.67406916169,133107.51878137284,161788.8855875915,189690.7095182279,217166.00124321732,alabama
01129,9846.97560221828,6060.716388933001,4393.380925711044,15760.226272479074,27592.884118512506,40292.28450590772,53547.55274057594,66206.80424873794,78417.42971565097,alabama
01131,5540.925611166192,4234.164654387564,3604.82239304147,6785.678614316536,10214.446491316565,13872.748091017298,17688.94341315867,21360.353000604187,24934.19998229825,alabama
01133,21544.27190145304,19100.03054251661,17101.135668300412,22546.36860830232,28373.30505802753,34900.81722622413,42013.11413665025,48987.5941887064,55897.583363307785,alabama
27001,8668.35701830658,5323.921884477475,3693.242348946768,3771.158382020263,3937.329114653244,4328.9290150046245,5028.0265174884125,5846.600688388,6714.049203738273,minnesota
27003,375991.9045603231,415143.92236836354,447719.8439134889,461878.9810233559,477031.2640153899,497407.0353235474,522183.8497573647,547305.8110762411,573568.4113485896,minnesota
27005,26905.9404049247,20973.968987659937,15555.275443094384,16466.035922905834,19405.37717091248,23012.08917485393,26942.603066311516,30589.756480261243,34250.55530918829,minnesota
27007,39192.37552703672,31834.73228442384,22786.461312317857,20005.488855805637,19761.13930850718,19692.560534358403,19809.07173171946,19917.709524906422,20023.33132707373,minnesota
27009,39779.5230797561,40728.49300384083,43789.7072436357,55589.32431403626,67116.47955281244,79823.26278638585,93750.30993192272,107212.1626766067,120681.66023700268,minnesota
